,questions,categories,answers
125,Qual documento comprova a condição de herdeiro?,Solicitação de Relatórios Sigilosos referentes a pessoa falecida ou desaparecida,"Qualquer documento que comprove o parentesco entre herdeiro interessado na informação e o falecido (documento de identificação, certidão de nascimento, casamento, certidão de quitação eleitoral, etc.).  Atenção! Os documentos devem ter autenticação digital (código de validação, QR Code) que permita ao Banco Central acessar e visualizar todo o conteúdo do documento no site do órgão emissor."
126,Qual é o papel do Banco Central no mercado de câmbio?,Mercado de câmbio,"O Banco Central executa a política cambial definida pelo Conselho Monetário Nacional. Para tanto, regulamenta o mercado de câmbio e autoriza as instituições que nele operam. Também compete ao Banco Central fiscalizar o referido mercado, podendo punir dirigentes e instituições mediante multas, suspensões e outras sanções previstas em lei. Além disso, o Banco Central pode atuar diretamente no mercado, comprando e vendendo moeda estrangeira de forma ocasional e limitada, com o objetivo de conter movimentos desordenados da taxa de câmbio."
127,O que ocorre com os recursos não procurados?,Consórcios Grupo de consórcio,"Os recursos não procurados por consorciados ativos e excluídos serão devolvidos pela administradora assim que forem exigidos pelos credores, mas estarão sujeitos a cobrança de tarifa de permanência, conforme regra prevista em contrato."
128,Quais as formas de movimentar minha conta?,Contas de depósitos (conta corrente e conta poupança) Movimentação e Manutenção,"As formas mais comuns são saques e pagamentos com cartão, transferência de recursos de/para outras contas por meio de TED, DOC ou “book transfer” (realizados presencialmente ou por meios eletrônicos), depósitos em espécie e cheque.  Contudo, não há regulamentação que defina uma forma específica ou obrigatória de movimentação, nem que estabeleça vedação à viabilização de novas formas. As formas de movimentação da conta devem estar previstas em contrato, podendo variar de acordo com o contrato assinado entre o cliente e a instituição financeira.  Para saber mais sobre formas de movimentação, consulte a FAQ sobreTransferênciase sobreCheques."
129,Startups de pagamentos poderão ofertar o PIX?,SEM-CATEGORIA,"Sim, desde que a startup seja uma instituição de pagamento que tenha feito a adesão para participar no PIX."
130,Como os órgãos públicos podem celebrar convênio para ter acesso ao CCS?,Cadastro de Clientes do Sistema Financeiro Nacional (CCS) Acesso a órgãos e instituições participantes,"A solicitação para celebração de convênio com o Banco Central do Brasil, objetivando o acesso ao Cadastro de Clientes do Sistema Financeiro Nacional (CCS), deve ser encaminhada peloProtocolo Digital.  Para acessar o Protocolo Digital é necessário se credenciar no Sisbacen. Tendo dúvidas a respeito, a equipe gestora do sistema pode prestar mais esclarecimentos, sendo necessário entrar em contato com a mesa de suporte, pelo e-mailccs@bcb.gov.br ou pelos telefones: (61) 3414-4355 (Brasília); (85) 3308-5555 (Fortaleza) ou (51) 2118-7455 (Porto Alegre)."
131,Qual o limite mínimo em relação ao capital social integralizado e ao patrimônio líquido das SEP e SCD?,SEM-CATEGORIA,"A SCD e a SEP devem observar permanentemente o limite mínimo de R$ 1.000.000,00 (um milhão de reais) em relação ao capital social integralizado e ao patrimônio líquido.  Como esse é o limite mínimo, o Banco Central pode exigir capital em montante superior aos um milhão de reais no processo de autorização para funcionamento das fintechs de crédito."
132,Qual a duração do RAET?,Regimes de Resolução  -  Definições Regime de Administração Especial Temporária (RAET),"A duração do RAET é fixada pelo Banco Central no ato de sua decretação, podendo ser prorrogada, por período não superior ao primeiro."
133,Quais dados não estão contidos no CCS?,Cadastro de Clientes do Sistema Financeiro Nacional (CCS) Dados do CCS,O Cadastro não contém dados de:valor;movimentação financeira;saldos de contas ou aplicações; eendereço do cliente.
134,Como o cliente pode receber o recurso coberto pelo FGC?,Fundo Garantidor de Créditos (FGC) Recursos cobertos pela garantia do FGC,"Nesses casos, o cliente deve procurar o FGC. Em regra, as informações a respeito do pagamento da garantia estão disponíveis no site do FGC e no site da instituição submetida à intervenção ou à liquidação extrajudicial. Também é divulgado por meio de edital o período em que o pagamento estará disponível, a documentação necessária e o local e a forma para o recebimento."
135,Qual a forma de pagamento das prestações do financiamento?,Crédito Imobiliário,A forma de pagamento das prestações depende do que está previsto em seu contrato de financiamento. Não há impedimento para que o banco ou outra instituição financeira preveja no contrato que o pagamento ocorrerá exclusivamente por débito em conta corrente ou conta poupança.   Atenção! Qualquer mudança na forma de pagamento deve ser pactuada entre as partes contratantes.
136,"Como proceder se a nota manchada de rosa for sacada no banco, inclusive em caixa eletrônico?",SEM-CATEGORIA,"Se o cidadão sacou uma cédula manchada de rosa no caixa ou em um terminal de autoatendimento, ele deve procurar qualquer agência do banco do qual é correntista e apresentar a nota manchada. O banco é obrigado a trocar o dinheiro manchado imediatamente."
137,Quais as taxas de juros dos financiamentos no SFH?,Crédito Imobiliário,"As taxas de juros dessas operações são aquelas previstas em contrato e não podem ultrapassar 12% ao ano, incluindo juros, comissões e outros encargos.    Destaca-se que esse percentual não inclui: custo de contratação de apólice de seguros de morte e invalidez permanente, danos físicos ao imóvel e responsabilidade civil do construtor; tarifas relativas a análise de proposta de apólice de seguro habitacional individual e a taxa de administração mensal (esta limitada a R$25,00 por mês).    Além disso, a critério dos bancos e outras instituições financeiras, os contratos podem prever atualizações por índice de preços, de conhecimento público e regularmente calculado, ou pela Taxa Referencial (TR).     Recomenda-se a leitura atenta dos contratos."
138,O que é política cambial?,Mercado de câmbio,"É o conjunto de ações governamentais, especialmente do Banco Central, diretamente relacionadas ao comportamento do mercado de câmbio, inclusive no que se refere à estabilidade relativa das taxas de câmbio e do equilíbrio no balanço de pagamentos."
139,O que eu faço se a instituição financeira em que eu tenho dívida se recusar a fornecer o valor do saldo devedor para a realização da portabilidade?,Portabilidade de Crédito Dificuldades à portabilidade,"No caso de pessoas físicas e de operações de crédito que envolvam empréstimos ou financiamentos, o prazo para o fornecimento das informações sobre as características do contrato é de até 1 dia útil, contado a partir da data da solicitação e desde que os clientes sigam as orientações fornecidas pelas instituições financeiras (leia mais na pergunta 1 da seção ""Procedimentos""). No caso de pessoas jurídicas ou de operações de arrendamento mercantil, a regulamentação não definiu prazo específico para o fornecimento das citadas informações, devendo, no entanto, as instituições financeiras fornecê-las tempestivamente quando solicitadas. Caso a instituição não preste as informações requeridas para a realização da portabilidade, você pode recorrer ao Serviço de Atendimento ao Consumidor (SAC) ou à Ouvidoria da própria instituição financeira."
140,Quais as relações envolvidas nas operações com cheques?,Cheques Informações gerais,"O cheque envolve uma relação jurídica entre o emitente e a instituição financeira (na qual está a conta de depósitos vinculada ao cheque emitido). Além disso, envolve também uma relação comercial ou obrigacional, direta ou indireta, entre o emitente e o beneficiário."
141,Como o BC enviará o documento solicitado ou responderá minha demanda via Protocolo Digital?,Protocolo Digital Atendimento da solicitação,O Banco Central enviará as informações solicitadas por essa plataforma caso os documentos enviados pelo solicitante estejam de acordo com as exigências para a prestação do serviço. O Protocolo Digital é apenas um meio para envio/recebimento de documentos. As respostas às demandas dependem de análise das áreas técnicas.  O meio pelo qual o documento será enviado pelo BC varia de acordo com a demanda ou serviço solicitados.
142,O que acontece se eu fornecer informações incorretas em um Pix?,Pagamento Instantâneo (Pix) Entendendo como se faz um Pix,"Se, ao tentar realizar um Pix, algum erro ocorrer, você será alertado acerca do motivo de a transação não poder ser efetivada. Após a situação que originou o erro ser normalizada, você poderá tentar novamente."
143,Quais são as dimensões das notas da Segunda Família?,Segunda Família do Real,"2 reais – 12,1cm x 6,5cm;5 reais – 12,8cm x 6,5cm;10 reais – 13,5cm x 6,5cm;20 reais – 14,2cm x 6,5cm;50 reais – 14,9cm x 7,0cm;100 reais – 15,6cm x 7,0cm."
144,Quando a iniciação de transação de pagamento no Pix estará disponível?,Pagamento Instantâneo (Pix) Entendendo sobre iniciação de transação de pagamento no Pix,"A iniciação de transação de pagamento no Pix, poderá ser feita via qualquer procedimento de iniciação no Pix, conforme cronograma abaixo: 30/08/21: realização de transação por meio do serviço de iniciação a partir da inserção manual, pelo cliente, dos dados de identificação do recebedor (instituição, agência, conta, tipo da conta, CPF/CNPJ) ou por meio da chave Pix 30/09/21: realização de transação diretamente pela instituição que prestar o serviço de iniciação (novo procedimento de iniciação, utilizado quando a instituição que presta o serviço de iniciação já possui os dados do recebedor) e 01/11/21: realização de transação por meio do serviço de iniciação a partir da leitura de QR Code estático ou dinâmico. Exemplos do uso do serviço de iniciação de pagamento para as situações 1 e 2:  Ao fazer uma transferência utilizando um aplicativo específico fornecido pelo iniciador ou que tenha o serviço de iniciação integrado ao app (por exemplo, aplicativos de gestão financeira, aplicativos de mensagem, redes sociais, etc); A partir de uma compra online em site ou no uso de aplicativos de delivery, transporte e compra de mercadorias, etc."
145,Posso prorrogar ou alongar minha dívida?,Crédito Rural Renegociação das dívidas,"As instituições financeiras são autorizadas a prorrogar dívidas de crédito rural, independentemente de consulta ao BC, com os mesmos encargos financeiros antes pactuados no instrumento de crédito, desde que se comprove incapacidade de pagamento do tomador de empréstimo, em consequência de:    a) dificuldade de comercialização dos produtos;  b) frustração de safras, por fatores adversos;   c) eventuais ocorrências prejudiciais ao desenvolvimento das explorações.   A renegociação das operações compete à instituição financeira, sempre seguindo o que preconizam as normas de renegociação vigentes e os dispositivos concernentes ao MCR.  Verifique sua condição contratual e possibilidade de renegociação junto à instituição financeira.  Mais informações podem ser obtidas na Seção 6 (Reembolso) do Capítulo 2 (Condições Básicas) do MCR.  Atenção: AResolução 4.801, de 2020, autoriza, para produtores rurais, inclusive agricultores familiares cujas atividades tenham sido prejudicadas em decorrência das medidas de distanciamento social adotadas para mitigar os impactos da pandemia provocada pela Covid-19, a prorrogação do reembolso das operações de crédito rural de custeio e de investimento; e a contratação de Financiamento para Garantia de Preços ao Produtor (FGPP) ao amparo de Recursos Obrigatórios de que trata a Seção 2 do Capítulo 6 do Manual de Crédito Rural (MCR 6-2)."
146,"Sou Pessoa Jurídica e, ao acessar o Registrato, o sistema está exibindo a mensagem “ID de usuário ou senha incorreta”. Como resolver?",Registrato,"Sugerimos seguir as orientações disponíveis ao final desta página na opção ""senhas > reabilitação de senhas"".  Observe que a senha deve ter entre 6 e 8 caracteres e iniciar, necessariamente, com uma letra. Além disso, não devem ser usados caracteres especiais, tais como sinais de pontuação ou caracteres acentuados.  Caso o problema persista, entre em contato com a Central de Atendimento de TI, telefone (61) 3414-2156, ou através do e-mail gerente.sisbacen@bcb.gov.br."
147,O que é o Programa de Garantia da Atividade Agropecuária (Proagro)?,Programa de Garantia da Atividade Agropecuária (Proagro) Informações Gerais,"É um programa do governo federal, administrado pelo Banco Central (BC), conforme normas, critérios e condições definidas pelo Conselho Monetário Nacional (CMN), que:  permite aos produtores rurais, especialmente pequenos e médios, a exoneração de suas obrigações financeiras relativas a financiamentos de custeio agrícola junto às instituições financeiras; eindeniza os recursos próprios do beneficiário, utilizados em custeio rural, no caso de perdas das receitas, na ocorrência de frustração de safra provocada por eventos adversos de natureza climática ou biológica, tais como: seca, chuva excessiva, geada, granizo, variação excessiva de temperatura, ventos fortes e doenças ou pragas sem método de controle exequível. A regulamentação do Proagro está disponível no capítulo 16 doManual de Crédito Rural (MCR).   Um resumo de instruções para o beneficiário, que tem objetivo apenas de orientação, está disponívelaqui."
148,O que acontece se o DOC que eu fiz for devolvido?,Transferências,A instituição que realizou o DOC deve colocar o valor à sua disposição no dia da liquidação e informar a você imediatamente.
149,É necessária alguma documentação para constituição de mandatários no sistema RDE-ROF?,Registro Declaratório Eletrônico - Registro de Operações Financeiras (RDE-ROF) Acesso ao RDE-ROF,"Sim. Conforme Resolução 4.637, de 2018, a documentação comprobatória das autorizações para constituição de mandatários deve ser mantida à   disposição do Banco Central pelo prazo mínimo de 5 anos, contados da data de encerramento das respectivas autorizações.  Observação: a documentação comprobatória deve ser mantida sob guarda das partes, e só deve ser enviada ao Banco Central caso solicitado."
150,O que eu devo informar para realizar um DOC?,Transferências,"Você deve informar, obrigatoriamente:o código da sua instituição; o código da instituição do beneficiário; o código da agência do beneficiário; seu nome e CPF ou nome e CNPJ de sua empresa; o nome e o CPF ou nome e empresa do beneficiário; número da sua conta, se for correntista; número da conta do destinatário; o valor da transferência; a data de emissão; e a finalidade da transferência."
151,"Se o cliente tiver entregue à corretora cheques em moeda estrangeira para câmbio, como conseguirá resgatá-los?",Liquidação Extrajudicial - Corretoras de câmbio,"Os cheques em moeda estrangeira que estejam sob custódia da corretora de câmbio poderão ser restituídos aos clientes, mediante solicitação ao liquidante, após autorização do Banco Central.  O direito à restituição sempre dependerá dos requisitos legais a serem verificados no caso concreto, como exposto, com exemplos, na resposta ao item 2."
152,É necessário realizar algum cadastro para acessar o protocolo e enviar os documentos?,Protocolo Digital Informações Gerais,"Sim. É necessário realizar o cadastro na forma abaixo:  a) Pessoa física: O cadastro pode ser feito por meio doRegistrato, nas opções Internet banking e Certificado digital (e-CPF).  b) Usuário da Administração Pública Federal:  Para enviar/receber documentos em nome de órgão com acesso aoSisbacen o usuário deve entrar em contato com o Gerente Setorial de Segurança (máster do órgão), que procederá ao cadastro da nova conta. Em caso de dúvidas sobre órgãos conveniados e másteres das instituições, o telefone da Central de Atendimento de TI do BCB é 61 3414-3109 ou 3414-2156. No caso de órgão que não possua acesso ao Sisbacen, o cadastramento pode ser solicitado na forma do item 'Usuário da Administração Pública Federal'. Durante o processo de cadastramento, pode se utilizar o cadastro de pessoa física.  c) Usuário institucional  Esta opção é voltada para usuários de instituições sujeitas à ação reguladora ou supervisora do BC, entidades não financeiras vinculadas ao Sistema Financeiro Nacional, empresas de auditoria cooperativa ou independente, instituidores de arranjos de pagamentos (IAP). Para enviar/receber documentos em nome da instituição com acesso aoSisbacen, o usuário deve entrar em contato com o Gerente Setorial de Segurança (da instituição, que procederá ao cadastro da nova conta).  d) Usuário de entidade estadual ou municipal:  Caso a entidade estadual ou municipal esteja cadastrada noSisbacen, o usuário deve procurar o Gerente Setorial de Segurança, o qual poderá fornecer um login e senha para acesso ao Sisbacen.  Caso a entidade não esteja cadastrada, o usuário poderá utilizar seu cadastro de pessoa física.Dica: ainda que opte por esta opção, será possível indicar o CNPJ representado no momento do envio de documentos via Protocolo Digital.  e) Demais casos que envolvam Pessoa Jurídica:  Esta opção é voltada para Pessoas jurídicas que não estejam enquadradas na opção de Usuário Institucional. Caso a Pessoa Jurídica esteja cadastrada noSisbacen, o usuário deve procurar o Gerente Setorial de Segurança (o qual poderá fornecer um login e senha para acesso ao Sisbacen).  Caso a Pessoa jurídica não esteja cadastrada, o usuário poderá utilizar seu cadastro de pessoa física. Dica: ainda que opte por esta opção, será possível indicar o CNPJ representado no momento do envio de documentos via Protocolo Digital."
153,É possível haver pedido de resolução de disputas entre participantes do Pix?,Pagamento Instantâneo (Pix) Entendendo sobre reclamações contra participantes do Pix,"Sim. A resolução de disputas entre participantes do Pix se inicia com o pedido de resolução de disputas sobre o caso questionado pela parte que se sentir prejudicada. Ela só ocorre após esgotadas todas as possíveis tratativas entre as partes envolvidas, sem a possibilidade de abertura de múltiplos pedidos de resolução de disputas relacionados a um mesmo caso. Além disso, o pedido deve:ser feito peloProtocolo Digital do BC; ocorrer em até 45 dias corridos da ocorrência do fato;ser realizado por usuário que conste do cadastro do participante no Pix;  Atenção! Documentos e evidências deverão ser anexados no momento do cadastramento do pedido de resolução de disputa."
154,"Quando emito ou recebo um cheque, quem são as partes envolvidas nessa transação?",Cheques Informações gerais,A operação com cheque envolve 3 agentes:Emitente (emissor ou sacador): aquele que emite o cheque;Beneficiário: pessoa que recebe o cheque como pagamento; eSacado: banco onde está depositado o dinheiro do emitente e que fará o pagamento do cheque ao beneficiário.
155,Procedimentos para a apresentação de proposta de APS,Acordo Administrativo em Processo de Supervisão (APS),"A proposta de APS deve ser apresentada por escrito e deverá conter:  - a qualificação completa do proponente e a descrição detalhada da infração noticiada, incluindo a sua duração conhecida, a identificação dos seus autores e a relação das informações e documentos que serão apresentados para comprovar a veracidade dos fatos narrados;  - a indicação de um único representante, e o seu meio de contato, inclusive se a proposta for apresentada por conjunto de pessoas; e  - a informação da apresentação de proposta de acordo sobre a mesma infração a outra autoridade, caso tenha ocorrido."
156,O participante que atua no mercado de câmbio pode ser titular de conta em moeda estrangeira no Brasil?,Sandbox Regulatório Participantes que atuam no Mercado de Câmbio,"Sim, desde que a conta tenha a finalidade exclusiva de liquidação de operação de câmbio de seu cliente ou usuário realizada no âmbito de seu projeto inovador, devendo ser observadas as disposições regulamentares das contas de titularidade das instituições autorizadas a operar no mercado de câmbio."
157,Quem pode propor um APS?,Acordo Administrativo em Processo de Supervisão (APS),"Podem propor APS pessoas naturais que tenham atuado como administradores, membros da diretoria, do conselho de administração, do conselho fiscal, do comitê de auditoria e de outros órgãos estatutários ou contratuais de instituição financeira, das demais instituições supervisionadas pelo BC e de integrantes do Sistema de Pagamentos Brasileiro, como administradores e responsáveis técnicos das pessoas jurídicas que prestem os serviços de auditoria independente para aquelas ou de auditoria cooperativa ou representante legal de pessoas jurídicas que confessarem a prática de infração às normas legais ou regulamentares cujo cumprimento caiba ao BC fiscalizar."
158,Posso mudar os dados e serviços compartilhados ou o objetivo do compartilhamento?,SEM-CATEGORIA,"Sim, mas para isso, você precisará dar novo consentimento para a instituição."
159,Não possuo mais o ativo na data-base da declaração mas obtive rendimentos sobre esse ativo ao longo do período-base. O que faço?,CBE - Capitais Brasileiros no Exterior Informando os ativos no exterior,"Caso você não tenha mais o ativo na data-base da declaração, você não deve declará-lo, mesmo que tenha havido rendimento ao longo do período-base."
160,Quais instituições precisam de autorização do Banco Central (BC) para constituição e funcionamento?,Processos de Autorização do Banco Central Processo de autorização para constituição e funcionamento – Geral,"Conforme a Resolução nº 4.122, de 2012, as instituições que necessitam de autorização prévia do BC para constituição e funcionamento são as seguintes: a)   bancos múltiplos; b)   bancos comerciais; c)    bancos cooperativos; d)   bancos de investimento; e)   bancos de desenvolvimento; f)    bancos de câmbio; g)   sociedades de crédito, financiamento e investimento; h)   sociedades de crédito imobiliário; i)     companhias hipotecárias; j)    agências de fomento; k)   sociedades de arrendamento mercantil; l)    sociedades corretoras de títulos e valores mobiliários; m)  sociedades distribuidoras de títulos e valores mobiliários; e n)   sociedades corretoras de câmbio."
161,Quais as consequências para o correntista que emitir cheque sem fundos?,Cheques Devolução de cheques,"No caso da emissão de um cheque sem fundos, caso o emitente proveja os valores necessários para o pagamento do cheque antes da segunda apresentação pelo beneficiário, não haverá registro do fato (devolução pelo motivo 11 – Cheque sem Fundos – 1ª Apresentação).  Caso após a segunda apresentação, o cheque permanecesse sem fundos, ele será devolvido pelo motivo 12 – Cheque sem Fundos – 2ª Apresentação e o nome do emitente será incluído noCadastro de Emitentes de Cheques sem Fundos (CCF) e nos cadastros de devedores mantidos pelas instituições financeiras e entidades comerciais.  Importante! A emissão deliberada de cheque sem provisão de fundos é considerada crime de estelionato."
162,"Numa situação em que o valor dos recebíveis constituídos mantidos em garantia esteja dentro do limite de crédito não cancelável incondicional, mas superior ao limite do saldo devedor, quando deverá ser promovida a desconstituição dos ônus e gravames?",Operações com Recebíveis Desconstituição de gravames e de ônus sobre os recebíveis de arranjo de pagamento,"Em até um dia útil, contado da solicitação do devedor, realizada diretamente na instituição financeira beneficiária. E em até dois dias úteis, após a solicitação do devedor, realizada indiretamente, com seu consentimento, por meio das instituições credenciadoras ou subcredenciadoras responsáveis pelos recebíveis ou por meio do sistema de registro em que os recebíveis estão registrados."
163,Poderá haver cobrança de tarifas por serviços de iniciação de transação de pagamentos no Pix?,Pagamento Instantâneo (Pix) Entendendo sobre as tarifas do Pix,"Sim. É facultada a cobrança de tarifa do cliente, inclusive pessoa física, pela prestação do serviço de iniciação de transação de pagamento."
164,Quando o Banco Central disponibilizará o Valores a Receber?,Valores a Receber,A disponibilização da consulta e da ferramenta de devolução via Pix está prevista para dezembro de 2021.
165,O que explica a diferença de taxas de câmbio entre as operações?,Câmbio,"As operações de câmbio têm diferentes características, de acordo com a natureza de cada uma, com custos administrativos e financeiros também diversos. Assim, a taxa de câmbio pode variar de acordo com a natureza da operação, da forma de entrega da moeda estrangeira e de outros componentes tais como valor da operação, cliente, prazo de liquidação, etc. Importante! As taxas de câmbio divulgadas normalmente são médias apuradas para simples referência."
166,Quais são as penalidades que os participantes do Pix estão sujeitos?,Pagamento Instantâneo (Pix) Entendendo quem são os participantes do Pix,"As instituições participantes ou em processo de adesão ao Pix estão sujeitas a multas, suspensão ou exclusão do Pix, caso cometam infrações específicas no arranjo. AResolução BCB Nº 31, de 2020 traz o Manual de Penalidades do Pix, com mais detalhes.   Importante! O Banco Central do Brasil poderá suspender cautelarmente, a qualquer tempo, a participação no Pix do participante cuja conduta esteja colocando em risco imediato o regular funcionamento do arranjo de pagamentos, de acordo com aResolução BCB Nº 30, de 2020."
167,Como faço para receber informações sobre lançamentos de moedas comemorativas?,Moedas Comemorativas,"Se você tem interesse em receber por e-mail informações relativas aos futuros lançamentos de moedas comemorativas, preencha o cadastro de colecionadores, disponível em nossa página na internet, seguindo ""Cédulas e moedas > Moedas > Moedas comemorativas >Cadastro de colecionadores"".  Os dados informados serão usados exclusivamente para envio de informações a respeito de moedas comemorativas."
168,Quais são as etapas necessárias para o compartilhamento de dados e serviços dos clientes?,Open Banking  Autorização do cliente para compartilhamento de seus dados,"As instituições participantes somente poderão compartilhar dados e serviços de clientes que tenham solicitado o compartilhamento após as seguintes etapas: 1 - Consentimento;  2- Autenticação; e  3-  Confirmação.  Essas etapas devem ser realizadas exclusivamente por canais eletrônicos e devem ser efetuadas com segurança, agilidade, precisão e conveniência, de forma sucessiva e ininterrupta, com duração compatível com seus objetivos e nível de complexidade.  Importante! Durante todas essas etapas as instituições participantes devem assegurar a prestação de informações aos clientes de maneira clara, objetiva e adequada sobre em que consiste cada uma das etapas e os procedimentos a ela associados, bem como sobre o redirecionamento para outros ambientes ou sistemas eletrônicos, inclusive de outras instituições, quando aplicável."
169,Por quanto tempo meus dados ficam disponíveis para consulta no SCR?,Sistema de Informações de Créditos (SCR) Consulta ao SCR,"O cliente que contratou a operação de crédito, titular das informações, pode consultar os dados detalhados dos últimos 60 meses. No entanto, e desde que autorizadas pelo cliente, as instituições podem consultar somente as informações consolidadas do cliente relativas aos últimos 24 meses. Caso exista no SCR registro de operação que esteja em atraso por prazo igual ou superior a 60 meses, a instituição credora é obrigada a marcá-la com uma característica especial no sistema, que faz com que ela deixe de aparecer para todos os meses sob consulta."
170,Posso manter no banco apenas a conta-salário para recebimento dos recursos?,Conta-Salário e Portabilidade Salarial,Sim. O empregado pode manter apenas a conta-salário e não precisa abrir uma conta de depósitos à vista no banco contratado por seu empregador para realizar o pagamento do salário.
171,"Se a corretora de câmbio for uma agência de turismo, as contas da agência podem ser bloqueadas, paralisando operações não ligadas diretamente ao câmbio? Por exemplo: emissão de passagens de pacotes já fechados pelos clientes.",Liquidação Extrajudicial - Corretoras de câmbio,"As contas bancárias de uma instituição em liquidação extrajudicial não são bloqueadas como consequência do regime de resolução. No entanto, todas as atividades da instituição são paralisadas, podendo o liquidante, caso haja benefício para a massa, ultimar negócios pendentes com autorização do Banco Central."
172,Qual a diferença entre fazer um Pix informando uma chave ou lendo um QR Code e fazer o Pix por meio da iniciação?,Pagamento Instantâneo (Pix) Entendendo sobre iniciação de transação de pagamento no Pix,"Há algumas situações em que a dinâmica com o serviço de iniciação oferece uma experiência mais simples ao usuário. Por exemplo, se você está usando um aplicativo para troca de mensagens ou para efetuar uma compra, é mais simples iniciar a transação diretamente nesse próprio aplicativo e já ser redirecionado ao app do seu banco apenas para autenticar a transação do que precisar abrir manualmente o aplicativo do banco, selecionar a opção Pix, selecionar a forma desejada (digitar a chave ou via Pix copia e cola) e só então autenticar a transação. Ou seja, é mais uma forma de fazer um Pix que pretende facilitar ainda mais a realização de pagamentos e transferências."
173,Quais são as vantagens da celebração de Termo de Compromisso?,Termo de Compromisso Informações gerais,"O proponente que celebra o Termo de Compromisso e o cumpre adequadamente permanece em situação de primariedade perante o BC, se não houver sido apenado em outro processo administrativo sancionador por esta Autarquia. O acordo permite que a solução de conflitos seja mais rápida e menos onerosa para todos os envolvidos. Além disso, evidencia a iniciativa dos compromitentes em resolver de maneira consensual as controvérsias e em ressarcir os envolvidos que tenham sido prejudicados pelas condutas objeto do Termo de Compromisso."
174,Em qual formato os documentos podem ser enviados?,Protocolo Digital Envio da Documentação,"Os documentos devem estar no formato PDF/A, o que permite uma visualização padronizada do documento e garante que ele poderá ser acessado no futuro com suas características originais.Saiba como gerar arquivo PDF/A clicandoaqui."
175,Quais são as alterações na documentação de comércio exterior?,Sistema de Pagamentos em Moeda Local (SML),Não existem mudanças na documentação de comércio exterior.
176,As cédulas de 2 e de 5 reais são as primeiras a utilizar esse tipo de proteção?,Segunda Família do Real,"Essa proteção já é usada por vários países em notas de intenso manuseio (notas de valor mais baixo). As experiências desses países sinalizam um aumento na durabilidade das cédulas, em decorrência da menor absorção de sujeira.  Esse aumento da vida útil varia de país para país (de 20% a 74%), dependendo dos hábitos de manuseio da população."
177,"Sou aposentado ou beneficiário do Bolsa Família, não tenho conta em banco, mas saquei dinheiro suspeito de falsificação. O que faço?",Cédulas Falsas e Suspeitas Cédula falsa ou suspeita sacada em banco,Você deve procurar qualquer agência do banco onde sacou o dinheiro para fazer a troca.  O banco é obrigado a trocar o dinheiro suspeito imediatamente.
178,A formalização do financiamento pode ser feita por intermédio de um agente contratado pela instituição financeira?,Crédito Rural Contratação de uma operação de Crédito Rural,"Sim. As instituições financeiras autorizadas podem contratar operações de crédito rural por intermédio de agentes de crédito rural, devendo observar as condições de que trata o item 12 da Seção 1 (Autorização para Operar em Crédito Rural e Estrutura Operativa) do Capítulo 1 (Disposições Preliminares) do MCR.   Importante! Nenhum custo relativo à contratação e às atividades do agente de crédito pode ser repassado ao tomador do crédito rural, salvo no caso de despesas imprevistas causadas por ele próprio.  Base Normativa:Resolução 4.631, de 2018."
179,Quais são as garantias que a administradora pode exigir dos consorciados para disponibilização do crédito após a contemplação?,Consórcios Cuidados aos contratar consórcios,"As garantias iniciais em favor do grupo devem recair sobre o bem adquirido por meio do consórcio. No caso de consórcio de bem imóvel, é facultado à administradora aceitar em garantia outro imóvel de valor suficiente para assegurar o cumprimento das obrigações pecuniárias do contemplado em relação ao grupo. Além disso, admitem-se garantias reais ou pessoais, sem vinculação ao bem referenciado, no caso de consórcio de serviço de qualquer natureza, ou quando, na data de utilização do crédito, o bem estiver sob produção, incorporação ou situação análoga. A administradora também pode exigir garantias complementares proporcionais ao valor das prestações vincendas."
180,O que eu faço se meu banco não me oferece o PIX?,SEM-CATEGORIA,"O oferecimento de PIX aos clientes será obrigatório apenas para algumas instituições (ver questão 1 acima). Caso a instituição em que possua conta não ofereça o serviço, você precisará procurar alguma instituição que seja participante do PIX para poder utilizar esse meio de pagamento."
181,Como é encerrada a liquidação?,Regimes de Resolução  -  Definições Liquidação Extrajudicial,"A liquidação extrajudicial será encerrada por decisão do Banco Central quando houver:  mudança de objeto social da instituição para atividade econômica não integrante do Sistema Financeiro Nacional ou seu ingresso em liquidação ordinária, em ambos os casos após aprovação em assembleia de credores;transferência do controle societário da instituição;pagamento integral dos credores quirografários; ouexaustão, iliquidez ou difícil realização dos ativos da instituição, ainda que não ocorra o pagamento integral dos créditos. O BC também pode autorizar o liquidante a requerer ao Poder Judiciário a falência da instituição. Nesse caso, a decretação da falência encerra o regime de liquidação extrajudicial."
